keyword,tendency,weight,category,antonym,synonyms
대만 해협 언급,보수,3,외교,"대중 관계 파탄, 하나의 중국 원칙 존중, 부산 엑스포 유치 실패, 사도광산 유네스코 등재, 불필요한 자극","대만 문제에 대해 한국 정부가 국제 사회와 보조를 맞춰 목소리를 내는 것, 칩4 동맹, 보편적 가치 수호, 북한 인권 결의안, 글로벌 안보 기여, 힘에 의한 현상 변경 반대, 인도-태평양 전략, 캠프 데이비드 선언"
칩4 동맹,보수,3,외교,"중국 시장 포기, 부산 엑스포 유치 실패, 반도체 공급망 타격, 사도광산 유네스코 등재, 경제 안보 훼손","대만 해협 언급, 기술 동맹, 반도체 초격차, 북한 인권 결의안, 공급망 안정화, 미국 주도의 반도체 공급망 협의체 참여를 둘러싼 경제/외교적 득실 논쟁, 인도-태평양 전략, 캠프 데이비드 선언"
부산 엑스포 유치 실패,진보,3,외교,"캠프 데이비드 선언, 인도-태평양 전략, 칩4 동맹, 외교 지평 확대, 북한 인권 결의안, 민관 원팀 노력, 대만 해협 언급, 석패","희망 고문, 정보력 부재, 사도광산 유네스코 등재, 외교 참사, 2030 엑스포 유치 실패의 원인과 책임을 둘러싼 공방, 예산 낭비"
사도광산 유네스코 등재,진보,4,외교,"강제성 일부 인정, 대만 해협 언급, 외교적 타협, 칩4 동맹, 한일 관계 개선 성과, 북한 인권 결의안, 인도-태평양 전략, 캠프 데이비드 선언","부산 엑스포 유치 실패, 굴욕 외교, 일본 사도광산의 세계유산 등재 과정에서 한국 정부의 동의 여부에 대한 논란, 제2의 군함도, 강제 징용 역사 지우기"
자체 핵무장론,보수,4,안보,"한반도 비핵화 원칙, 경제 제재 우려, 여군 간부 확대, NPT 탈퇴 불가","공포의 균형, 북핵 위협에 대응해 한국도 독자적으로 핵무기를 보유해야 한다는 주장, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 자위적 핵무장, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 핵 균형, 미국의 핵우산 불신"
병사 월급 200만원,보수,3,안보,"간부 처우 역전, 국방 예산 부담, 포퓰리즘, 여군 간부 확대","자체 핵무장론, 병영 처우 개선, 한국형 핵잠수함, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 병사 월급을 최저임금 수준으로 대폭 인상하는 정책에 대한 재정적/형평성 논란, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 애국 페이 근절, 청년 보상"
국군방첩사령부(기무사) 강화,보수,4,안보,"기무사 부활, 군사 정권 회귀, 민간인 사찰 우려, 여군 간부 확대","자체 핵무장론, 보안 역량 강화, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 군 기강 확립, 사드 추가 배치, 안보 공백 메우기, 과거 기무사를 개편한 방첩사의 권한과 기능을 다시 강화하려는 움직임"
여군 간부 확대,중립,2,안보,"자체 핵무장론, 준비 부족, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 보여주기식, 성폭력 문제 해결 우선","병력 감소 대책으로 여군 장교/부사관 선발 비율을 늘리자는 논의, 여성 인재 활용, 양성 평등 군대, 국방 인력 확보"
사드 추가 배치,보수,4,안보,"전자파 우려, 중국 경제 보복, 여군 간부 확대, 평화 위협","자체 핵무장론, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 국민 생명 보호, 예비군 훈련 보상비 현실화, 주권적 결단, 국군방첩사령부(기무사) 강화, 미사일 방어 체계 완성, 주한미군의 고고도 미사일 방어체계(THAAD)를 추가로 배치하거나 기지를 정상화하는 문제"
검찰 특수활동비 공개,진보,4,사법/검찰,"수사 기밀 유출, 검찰 흠집내기, 압수수색 영장 사전 심문, 범죄 대응력 약화, 검찰 수사 심의위원회","깜깜이 예산, 대장동 50억 클럽 특검, 사실적시 명예훼손 폐지, 쌈짓돈 유용 의혹, 압수수색 영장 범위 제한, 검찰이 영수증 증빙 없이 사용하는 특수활동비 내역을 투명하게 공개하라는 요구, 국민 세금 검증, 경찰국 신설"
대장동 50억 클럽 특검,진보,4,사법/검찰,"압수수색 영장 사전 심문, 검찰 수사 심의위원회, 이재명 방탄용 물타기, 검찰 수사 진행 중, 정쟁 유발","대장동 개발 수익을 챙긴 의혹을 받는 법조계 고위 인사들에 대한 특검 도입, 검찰 특수활동비 공개, 사실적시 명예훼손 폐지, 성역 없는 특검, 압수수색 영장 범위 제한, 법조 카르텔 척결, 봐주기 수사, 경찰국 신설"
경찰국 신설,진보,4,사법/검찰,"압수수색 영장 사전 심문, 내무부 치안본부 부활, 검찰 수사 심의위원회, 정치적 중립 훼손, 경찰 장악 음모","대장동 50억 클럽 특검, 검찰 특수활동비 공개, 사실적시 명예훼손 폐지, 민주적 통제, 압수수색 영장 범위 제한, 행정안전부 장관의 지휘권, 행정안전부 내에 경찰 통제 조직(경찰국)을 만드는 것에 대한 찬반 논란, 경찰 비대화 견제"
압수수색 영장 사전 심문,보수,3,사법/검찰,"수사 밀행성 파괴, 대장동 50억 클럽 특검, 검찰 특수활동비 공개, 증거 인멸 기회 제공, 사실적시 명예훼손 폐지, 검찰 수사 심의위원회, 압수수색 영장 범위 제한, 범죄자 보호, 경찰국 신설","사법 통제 강화, 무분별한 압수수색 방지, 인권 보호, 판사가 영장을 발부하기 전에 피의자를 불러 심문하는 제도를 도입하려는 논의"
사실적시 명예훼손 폐지,진보,3,사법/검찰,"사생활 침해, 압수수색 영장 사전 심문, 검찰 수사 심의위원회, 인격 살인, 무분별한 폭로","사실을 말해도 타인의 명예를 훼손하면 처벌하는 법 조항을 폐지하자는 주장, 대장동 50억 클럽 특검, 진실 알 권리, 검찰 특수활동비 공개, 압수수색 영장 범위 제한, 미투 운동 위축 방지, 표현의 자유, 경찰국 신설"
외국인 가사도우미 최저임금 차등,보수,4,노동,"특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 플랫폼 종사자법, 정년 연장(계속 고용), 현대판 노예제, 공공부문 비정규직 제로, ILO 협약 위반, 국적 차별","저출산 대책, 직무급제 도입, 주 52시간제 유연화, 최저임금 차등적용, 타임오프제(근로시간 면제), 외국인 가사 근로자에게만 최저임금보다 낮은 임금을 적용하자는 논의, 돌봄 비용 절감, 현실적 임금 수준"
정년 연장(계속 고용),진보,3,노동,"주 52시간제 유연화, 최저임금 차등적용, 세대 갈등, 타임오프제(근로시간 면제), 기업 부담 가중, 청년 일자리 감소, 직무급제 도입","특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 숙련 인력 활용, 플랫폼 종사자법, 공공부문 비정규직 제로, 국민연금 수급 공백 해소, 노인 빈곤 해결, 법적 정년을 60세 이후로 늘리거나 퇴직 후 재고용을 의무화하는 논의"
공공기관 민영화(지분 매각),진보,4,노동,"주 52시간제 유연화, 최저임금 차등적용, 타임오프제(근로시간 면제), 공공성 파괴, 요금 폭등, 국부 유출, 직무급제 도입","특수고용직 산재보험 적용, 노란봉투법, 플랫폼 종사자법, 부채 감축, 정년 연장(계속 고용), 방만 경영 해소, 경영 효율화, 공공부문 비정규직 제로, 전력/철도/공항 등 공공기관의 지분을 민간에 매각하거나 운영을 위탁하는 정책"
타임오프제(근로시간 면제),보수,3,노동,"특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 플랫폼 종사자법, 정년 연장(계속 고용), 노조 전임자 특혜, 불법 지원 근절, 공공부문 비정규직 제로, 노조 개혁","외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 최저임금 차등적용, 노조 활동 보장, 노사 자율 침해, 국제 노동 기준, 회사가 노조 전임자의 월급을 주는 한도(타임오프)를 엄격하게 단속하려는 정책, 직무급제 도입"
특수고용직 산재보험 적용,진보,3,노동,"외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 최저임금 차등적용, 근로자성 논란, 사업주 부담 증가, 타임오프제(근로시간 면제), 보험 재정 악화, 직무급제 도입","전국민 고용보험, 노란봉투법, 공공기관 민영화(지분 매각), 정년 연장(계속 고용), 플랫폼 종사자법, 노동자 보호, 사각지대 해소, 배달 라이더, 공공부문 비정규직 제로, 택배 기사 등 플랫폼 노동자의 산재보험 가입을 의무화하는 정책"
사용후 핵연료 저장 시설,보수,3,환경,"4대강 보 해체, 그린워싱 규제 강화, 핵 폐기장 결사 반대, 기후 위기, 후쿠시마 오염수, 가덕도 신공항 건설, 안전성 미검증, 기후대응기금 삭감, 지역 희생 강요","댐 건설 재개, 일회용품 규제 유예, SMR(소형모듈원전) 개발, 전기차 보조금 개편, 미래 세대 책임, 원전 가동 중단 위기, 원전에서 나온 고준위 방사성 폐기물을 보관할 영구 처분장을 짓는 문제, 고준위 특별법 제정"
일회용품 규제 유예,보수,3,환경,"정책 신뢰도 하락, 그린워싱 규제 강화, 환경 정책 후퇴, 기후 동행 카드, 플라스틱 공화국, 가덕도 신공항 건설, 기후 위기, 기후대응기금 삭감","종이컵/플라스틱 빨대 사용 금지 규제를 유예하거나 계도 기간을 늘리는 조치, 소상공인 부담 완화, 현실적 대안, 자율 감량 유도, 플라스틱 빨대 규제 계도"
기후대응기금 삭감,진보,3,환경,"댐 건설 재개, 일회용품 규제 유예, 탄소 중립 포기, SMR(소형모듈원전) 개발, 사용후 핵연료 저장 시설, 전기차 보조금 개편, R&D 경쟁력 상실, 플라스틱 빨대 규제 계도, 기후 악당","4대강 보 해체, 그린워싱 규제 강화, 정부의 긴축 재정 기조로 기후 변화 대응 예산이 줄어든 것에 대한 비판, 기후 위기, 후쿠시마 오염수, 민간 투자 유도, 기후 동행 카드, 재정 건전성, 가덕도 신공항 건설, 불요불급한 예산 조정"
그린워싱 규제 강화,진보,2,환경,"댐 건설 재개, 일회용품 규제 유예, SMR(소형모듈원전) 개발, 과도한 규제, 플라스틱 빨대 규제 계도, 기업 홍보 위축, 사용후 핵연료 저장 시설, 전기차 보조금 개편, 기준 모호","친환경 위장 방지, 4대강 보 해체, ESG 투명성, 실제로는 친환경적이지 않으면서 친환경인 척 홍보하는 기업 행위를 규제하는 것, 후쿠시마 오염수, 기후 동행 카드, 소비자 기만 근절, 가덕도 신공항 건설, 기후 위기, 기후대응기금 삭감"
전기차 보조금 개편,보수,2,환경,"4대강 보 해체, 수입차 차별, 그린워싱 규제 강화, 선택권 제한, 통상 마찰 우려, 기후 위기, 후쿠시마 오염수, 기후 동행 카드, 가덕도 신공항 건설, 기후대응기금 삭감","댐 건설 재개, 일회용품 규제 유예, SMR(소형모듈원전) 개발, 배터리 효율성 고려, 국내 산업 보호, 사용후 핵연료 저장 시설, 중국산 배터리 장착 차량 등에 보조금을 줄이는 방향으로의 정책 개편, 플라스틱 빨대 규제 계도, 재정 효율화"
북한 인권 결의안,보수,4,외교,"남북 관계 경색, 내정 간섭, 부산 엑스포 유치 실패, 사도광산 유네스코 등재, 평화 우선","인류 보편적 가치, 북한 주민 인권, 국제 사회 공조, 대만 해협 언급, 칩4 동맹, UN 북한 인권 결의안 공동 제안국 참여 및 적극적 찬성 투표 여부 논쟁, 인도-태평양 전략, 캠프 데이비드 선언"
인도-태평양 전략,보수,3,외교,"균형 외교 포기, 부산 엑스포 유치 실패, 사도광산 유네스코 등재, 경제 보복 우려, 중국 포위망 편승","가치 외교, 한미 동맹 격상, 미국 주도의 대중국 견제 노선인 인도-태평양 전략에 한국이 얼마나 깊숙이 참여할 것인가, 글로벌 전략 동맹, 칩4 동맹, 북한 인권 결의안, 대만 해협 언급, 캠프 데이비드 선언"
대북 확성기 재개,보수,4,안보,"접경 지역 불안, 심리전 중단, 여군 간부 확대, 우발적 충돌","자체 핵무장론, 김정은 정권 압박, 병사 월급 200만원, 한국형 핵잠수함, 예비군 훈련 보상비 현실화, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 북한의 오물 풍선 등 도발에 대응해 최전방 확성기 방송을 다시 트는 조치, 북한 체제 위협, 강력한 응징"
예비군 훈련 보상비 현실화,보수,2,안보,"포퓰리즘, 재정 부담, 국방 예산 한계, 여군 간부 확대","자체 핵무장론, 예비군 훈련에 참여하는 청년들에게 지급하는 실비를 현실적인 수준으로 올리자는 논의, 병사 월급 200만원, 한국형 핵잠수함, 대북 확성기 재개, 애국심 고취, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 청년 희생 보상, 실비 보상 원칙"
한국형 핵잠수함,보수,3,안보,"국제 제재, 한미 원자력 협정 위반, 여군 간부 확대, 비핵화 명분 약화","자체 핵무장론, 북한 SLBM 대응, 병사 월급 200만원, 대북 확성기 재개, 예비군 훈련 보상비 현실화, 수중 킬체인, 국군방첩사령부(기무사) 강화, 사드 추가 배치, 미국의 동의가 필요한 핵추진 잠수함 개발을 한국이 독자적으로 추진해야 한다는 주장, 자주 국방의 상징"
검찰 수사 심의위원회,중립,3,사법/검찰,"대장동 50억 클럽 특검, 검찰 면피용 기구, 검찰 특수활동비 공개, 압수수색 영장 사전 심문, 사실적시 명예훼손 폐지, 압수수색 영장 범위 제한, 유명무실, 권고 무시, 경찰국 신설","외부 전문가 통제, 국민적 의혹이 큰 사건에 대해 외부 전문가들이 기소 여부를 판단해주는 제도, 기소 독점 견제, 수사 공정성 확보"
압수수색 영장 범위 제한,진보,3,사법/검찰,"범죄자 은닉, 압수수색 영장 사전 심문, 수사 방해, 검찰 수사 심의위원회, 증거 확보 난항","대장동 50억 클럽 특검, 검찰 특수활동비 공개, 사실적시 명예훼손 폐지, 별건 수사 금지, 디지털 증거 압수수색 시 영장에 적힌 혐의와 무관한 정보까지 가져가는 관행을 제한하려는 논의, 무분별한 털기 방지, 전자정보 인권 보호, 경찰국 신설"
직무급제 도입,보수,4,노동,"특수고용직 산재보험 적용, 연공서열 파괴, 공공기관 민영화(지분 매각), 노란봉투법, 정년 연장(계속 고용), 플랫폼 종사자법, 공공부문 비정규직 제로, 성과 연봉제 변종, 노조 무력화","외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 최저임금 차등적용, 타임오프제(근로시간 면제), 근속 연수(호봉)가 아닌 하는 일(직무)의 난이도와 성과에 따라 임금을 주는 임금 체계 개편, 동일 노동 동일 임금, 공정 보상, 호봉제 철폐"
공공부문 비정규직 제로,진보,4,노동,"외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 최저임금 차등적용, 불공정 정규직화, 타임오프제(근로시간 면제), 비대해진 공공기관, 직무급제 도입, 청년 신규 채용 감소","특수고용직 산재보험 적용, 노란봉투법, 공공기관의 비정규직 근로자를 정규직으로 전환하는 문재인 정부의 핵심 노동 정책, 공공기관 민영화(지분 매각), 정년 연장(계속 고용), 플랫폼 종사자법, 모범 사용자로서의 국가, 차별 철폐, 고용 안정"
플랫폼 종사자법,진보,3,노동,"외국인 가사도우미 최저임금 차등, 주 52시간제 유연화, 일자리 감소, 최저임금 차등적용, 타임오프제(근로시간 면제), 신산업 규제, 직무급제 도입, 혁신 저해","특수고용직 산재보험 적용, 노란봉투법, 공공기관 민영화(지분 매각), 알고리즘 통제권, 정년 연장(계속 고용), 배달 라이더 등 플랫폼 노동자를 근로기준법상 근로자로 인정할지 별도 법으로 보호할지 논쟁, 노동자성 인정, 사회 안전망, 공공부문 비정규직 제로"
SMR(소형모듈원전) 개발,보수,4,환경,"4대강 보 해체, 그린워싱 규제 강화, 기후 위기, 후쿠시마 오염수, 기후 동행 카드, 가덕도 신공항 건설, 안전성 미검증, 경제성 부족, 기후대응기금 삭감, 핵 폐기물 난제 여전","댐 건설 재개, 일회용품 규제 유예, 대형 원전보다 안전하고 효율적이라 주장되는 소형 원전 기술 개발 및 투자 확대, 원전 수출 주력, 사용후 핵연료 저장 시설, 전기차 보조금 개편, 차세대 에너지, 탄소 중립 게임체인저, 플라스틱 빨대 규제 계도"
기후 동행 카드,진보,2,환경,"댐 건설 재개, 일회용품 규제 유예, SMR(소형모듈원전) 개발, 포퓰리즘, 사용후 핵연료 저장 시설, 전기차 보조금 개편, 지자체 예산 낭비, 수도권 편중, 플라스틱 빨대 규제 계도","4대강 보 해체, 그린워싱 규제 강화, 탄소 배출 저감, 기후 위기, 후쿠시마 오염수, 가덕도 신공항 건설, 대중교통 활성화, 기후대응기금 삭감, 교통 복지, 월 일정 금액으로 대중교통을 무제한 이용하게 하여 자가용 이용을 줄이려는 환경/교통 정책"
댐 건설 재개,보수,4,환경,"4대강 보 해체, 그린워싱 규제 강화, 생태계 교란, 기후 위기, 기후 동행 카드, 가덕도 신공항 건설, 기후대응기금 삭감, 토건 사업 부활, 환경 파괴","일회용품 규제 유예, SMR(소형모듈원전) 개발, 플라스틱 빨대 규제 계도, 기후 위기 대응, 극한 호우 대비, 사용후 핵연료 저장 시설, 전기차 보조금 개편, 환경 보호를 위해 중단했던 신규 댐 건설과 준설 작업을 홍수 예방 목적으로 재개하려는 정책, 물 그릇 키우기"
플라스틱 빨대 규제 계도,보수,3,환경,"4대강 보 해체, 그린워싱 규제 강화, 기후 위기, 후쿠시마 오염수, 기후 동행 카드, 가덕도 신공항 건설, 기후대응기금 삭감, 1회용품 천국, 환경 포기 선언, 정책 신뢰도 추락","댐 건설 재개, 소상공인 부담 경감, SMR(소형모듈원전) 개발, 일회용품 규제 유예, 대체재 시장 미성숙, 사용후 핵연료 저장 시설, 전기차 보조금 개편, 카페 등에서의 종이 빨대 의무화 단속을 무기한 연기한 조치에 대한 논란, 규제 속도 조절"
가덕도 신공항 건설,진보,3,환경,"댐 건설 재개, 일회용품 규제 유예, SMR(소형모듈원전) 개발, 고추 말리는 공항, 사용후 핵연료 저장 시설, 전기차 보조금 개편, 갯벌 파괴, 예타 면제 남발, 플라스틱 빨대 규제 계도","4대강 보 해체, 그린워싱 규제 강화, 동남권 관문 공항, 경제성 논란과 환경 파괴 우려에도 불구하고 특별법으로 추진되는 부산 신공항 건설, 기후 위기, 기후 동행 카드, 기후대응기금 삭감, 2030 엑스포 인프라, 국가 균형 발전"
포털 뉴스 제휴평가위(제평위),보수,4,언론,"기득권 카르텔, 포털의 언론 길들이기, 좌편향 알고리즘","네이버/카카오 등 포털에 입점할 언론사를 심사하는 기구의 편향성과 투명성 논란, YTN 민영화, 어뷰징 방지, 언론 생태계 정화, 뉴스 품질 관리, 공영방송 이사 해임, TBS 지원 조례 폐지, 가짜뉴스 원스트라이크 아웃"
YTN 민영화,보수,4,언론,"언론 장악, 자본의 방송 사유화, 공공성 훼손","언론 정상화, 포털 뉴스 제휴평가위(제평위), 경영 효율화, 공기업 방만 경영 해소, 공기업이 보유한 보도전문채널 YTN의 지분을 민간 기업에 매각한 이슈, 공영방송 이사 해임, TBS 지원 조례 폐지, 가짜뉴스 원스트라이크 아웃"
가짜뉴스 원스트라이크 아웃,보수,4,언론,"비판 언론 재갈, 언론 탄압, 검열 공화국","민주주의 위협, YTN 민영화, 악의적인 가짜뉴스를 보도한 언론사를 즉각 퇴출시키겠다는 방송통신위원회의 강경책, 포털 뉴스 제휴평가위(제평위), 사회적 흉기, 공영방송 이사 해임, 악의적 선동 근절, TBS 지원 조례 폐지"
TBS 지원 조례 폐지,보수,5,언론,"방송 탄압, 김어준 죽이기, 언론 자유 침해","세금 낭비 중단, 서울시가 정치적 편향성을 이유로 TBS(교통방송)에 대한 예산 지원을 중단한 사건, YTN 민영화, 교통방송 본연 회귀, 포털 뉴스 제휴평가위(제평위), 공영방송 이사 해임, 편파 방송 정상화, 가짜뉴스 원스트라이크 아웃"
공영방송 이사 해임,보수,4,언론,"법적 근거 부족, 임기 보장 무시, 방송 장악 쿠데타","편파 보도 시정, YTN 민영화, KBS, 포털 뉴스 제휴평가위(제평위), 방만 경영 책임, 정상화 과정, MBC 등 공영방송 이사진을 정권 교체 후 해임하고 여권 인사로 교체하는 과정, TBS 지원 조례 폐지, 가짜뉴스 원스트라이크 아웃"
